"Date","County","State","Vehicle Primary Use","Battery Electric Vehicles (BEVs)","Plug-In Hybrid Electric Vehicles (PHEVs)","Electric Vehicle (EV) Total","Non-Electric Vehicle Total","Total Vehicles","Percent Electric Vehicles"
"September 30, 2024","Nye","NV","Passenger","1","0","1","15","16","6.25"
"January 31, 2025","Brown","WI","Passenger","1","0","1","6","7","14.29"
"June 30, 2023","Spokane","WA","Truck","39","0","39","101,450","101,489","0.04"
"April 30, 2020","Placer","CA","Passenger","2","0","2","104","106","1.89"
"December 31, 2020","Miami-Dade","FL","Passenger","1","0","1","118","119","0.84"
"October 31, 2023","Skamania","WA","Passenger","130","55","185","8,028","8,213","2.25"
"August 31, 2023","Pend Oreille","WA","Truck","0","0","0","5,596","5,596","0.00"
"February 29, 2024","Stafford","VA","Passenger","3","0","3","72","75","4.00"
"March 31, 2023","Ada","ID","Passenger","3","0","3","200","203","1.48"
"October 31, 2022","Stafford","VA","Passenger","3","1","4","90","94","4.26"
"May 31, 2018","Maricopa","AZ","Passenger","1","3","4","1,747","1,751","0.23"
"July 31, 2018","Okanogan","WA","Truck","0","0","0","16,421","16,421","0.00"
"January 31, 2020","Bucks","PA","Passenger","1","0","1","24","25","4.00"
"May 31, 2025","Clackamas","OR","Passenger","3","1","4","106","110","3.64"
"March 31, 2023","Ferry","WA","Passenger","19","4","23","4,329","4,352","0.53"
"December 31, 2024","El Paso","CO","Truck","1","0","1","128","129","0.78"
"October 31, 2022","Henrico","VA","Passenger","1","1","2","20","22","9.09"
"November 30, 2023","Penobscot","ME","Passenger","0","1","1","7","8","12.50"
"October 31, 2017","Palm Beach","FL","Passenger","0","2","2","100","102","1.96"
"December 31, 2019","District of Columbia","DC","Passenger","1","1","2","196","198","1.01"
"November 30, 2022","Fairfax","VA","Passenger","10","3","13","684","697","1.87"
"November 30, 2020","Botetourt","VA","Passenger","1","0","1","0","1","100.00"
"January 31, 2025","Barnstable","MA","Passenger","1","0","1","12","13","7.69"
"July 31, 2022","La Plata","CO","Passenger","1","0","1","9","10","10.00"
"January 31, 2019","Eagle","CO","Passenger","1","0","1","5","6","16.67"
"September 30, 2020","Greene","MO","Passenger","0","1","1","39","40","2.50"
"December 31, 2024","Portsmouth","VA","Passenger","1","2","3","58","61","4.92"
"June 30, 2024","Harris","TX","Passenger","2","2","4","166","170","2.35"
"August 31, 2017","New London","CT","Passenger","1","0","1","248","249","0.40"
"June 30, 2023","Dorchester","SC","Passenger","1","0","1","60","61","1.64"
"September 30, 2025","Sarpy","NE","Truck","1","0","1","18","19","5.26"
"December 31, 2021","Lake","FL","Passenger","1","0","1","30","31","3.23"
"February 28, 2025","Bannock","ID","Passenger","1","0","1","7","8","12.50"
"February 29, 2024","New London","CT","Passenger","2","3","5","190","195","2.56"
"June 30, 2025","Bristol","MA","Passenger","1","0","1","4","5","20.00"
"June 30, 2019","Dakota","MN","Passenger","0","1","1","39","40","2.50"
"November 30, 2023","Brevard","FL","Passenger","1","1","2","76","78","2.56"
"March 31, 2023","St. Louis","MN","Passenger","0","1","1","8","9","11.11"
"June 30, 2024","Hardin","KY","Truck","1","0","1","21","22","4.55"
"July 31, 2020","Alameda","CA","Passenger","1","0","1","295","296","0.34"
"April 30, 2024","Charles","MD","Passenger","2","1","3","62","65","4.62"
"February 28, 2022","San Diego","CA","Passenger","16","7","23","2,638","2,661","0.86"
"May 31, 2020","Orange","FL","Passenger","1","0","1","148","149","0.67"
"September 30, 2021","Carroll","MD","Passenger","0","1","1","20","21","4.76"
"August 31, 2025","Ocean","NJ","Passenger","1","0","1","13","14","7.14"
"February 29, 2024","Adams","WA","Passenger","31","14","45","13,085","13,130","0.34"
"April 30, 2023","El Dorado","CA","Passenger","1","0","1","29","30","3.33"
"August 31, 2024","Middlesex","CT","Passenger","1","0","1","6","7","14.29"
"October 31, 2024","Whitman","WA","Truck","11","0","11","8,582","8,593","0.13"
"August 31, 2023","Monroe","WI","Passenger","1","0","1","10","11","9.09"
"April 30, 2020","Grant","WA","Passenger","59","72","131","65,222","65,353","0.20"
"November 30, 2021","Leavenworth","KS","Passenger","0","1","1","97","98","1.02"
"December 31, 2023","Williamson","TX","Passenger","2","1","3","88","91","3.30"
"October 31, 2021","Saginaw","MI","Passenger","1","0","1","9","10","10.00"
"October 31, 2022","Hamilton","OH","Truck","1","0","1","1","2","50.00"
"January 31, 2022","St. Louis","MO","Passenger","1","0","1","87","88","1.14"
"February 28, 2025","Cumberland","ME","Passenger","1","0","1","8","9","11.11"
"January 31, 2022","Prince William","VA","Passenger","1","3","4","216","220","1.82"
"February 28, 2022","Lake","IN","Passenger","0","1","1","10","11","9.09"
"August 31, 2022","Cass","MN","Passenger","0","1","1","3","4","25.00"
"October 31, 2023","Tompkins","NY","Passenger","1","0","1","16","17","5.88"
"January 31, 2020","Adams","WA","Passenger","7","7","14","12,897","12,911","0.11"
"December 31, 2023","Lewis","WA","Truck","10","0","10","25,680","25,690","0.04"
"May 31, 2024","Fairfax","VA","Truck","1","0","1","82","83","1.20"
"July 31, 2019","Stevens","WA","Passenger","19","30","49","31,680","31,729","0.15"
"July 31, 2021","Clark","WA","Truck","0","0","0","84,159","84,159","0.00"
"June 30, 2022","Washington","MD","Passenger","2","0","2","14","16","12.50"
"July 31, 2022","Whatcom","WA","Passenger","1,868","749","2,617","148,370","150,987","1.73"
"March 31, 2022","Louisa","VA","Passenger","0","1","1","2","3","33.33"
"August 31, 2023","Onslow","NC","Passenger","0","1","1","149","150","0.67"
"March 31, 2025","Loudoun","VA","Passenger","2","1","3","52","55","5.45"
"November 30, 2021","Charleston","SC","Passenger","1","1","2","92","94","2.13"
"November 30, 2017","Whatcom","WA","Passenger","524","213","737","144,574","145,311","0.51"
"June 30, 2019","Bergen","NJ","Passenger","1","0","1","27","28","3.57"
"May 31, 2024","Pacific","WA","Passenger","111","107","218","15,508","15,726","1.39"
"September 30, 2024","Rockingham","NH","Passenger","3","0","3","16","19","15.79"
"March 31, 2021","Clallam","WA","Truck","1","0","1","21,932","21,933","0.00"
"September 30, 2020","Washtenaw","MI","Passenger","1","1","2","40","42","4.76"
"June 30, 2025","Hudson","NJ","Passenger","1","0","1","25","26","3.85"
"November 30, 2021","Sussex","NJ","Passenger","1","0","1","2","3","33.33"
"April 30, 2020","Washtenaw","MI","Passenger","1","0","1","41","42","2.38"
"February 29, 2020","Alameda","CA","Passenger","2","1","3","306","309","0.97"
"May 31, 2023","Virginia Beach","VA","Truck","1","0","1","127","128","0.78"
"April 30, 2024","Clark","WA","Truck","180","0","180","80,572","80,752","0.22"
"March 31, 2020","Cowlitz","WA","Passenger","134","114","248","73,124","73,372","0.34"
"February 29, 2020","Clay","FL","Passenger","0","1","1","94","95","1.05"
"December 31, 2021","Arlington","VA","Passenger","2","0","2","152","154","1.30"
"September 30, 2019","Santa Clara","CA","Passenger","7","2","9","394","403","2.23"
"July 31, 2025","Grays Harbor","WA","Truck","30","0","30","20,483","20,513","0.15"
"February 28, 2021","Clark","WA","Truck","0","0","0","83,454","83,454","0.00"
"February 28, 2017","Fulton","GA","Passenger","1","1","2","130","132","1.52"
"October 31, 2018","Franklin","MA","Passenger","0","1","1","2","3","33.33"
"April 30, 2021","Clinton","PA","Passenger","1","0","1","0","1","100.00"
"August 31, 2024","Sarpy","NE","Passenger","1","1","2","62","64","3.13"
"April 30, 2025","Marin","CA","Truck","1","0","1","6","7","14.29"
"August 31, 2025","San Mateo","CA","Passenger","3","1","4","58","62","6.45"
"January 31, 2023","Franklin","WA","Passenger","260","124","384","61,702","62,086","0.62"
"February 29, 2024","Monterey","CA","Passenger","1","5","6","139","145","4.14"
"December 31, 2023","Cumberland","NC","Passenger","3","1","4","358","362","1.10"
"December 31, 2018","Mercer","NJ","Passenger","0","1","1","16","17","5.88"
"February 29, 2024","Bergen","NJ","Passenger","1","0","1","12","13","7.69"
"January 31, 2018","Okanogan","WA","Truck","0","0","0","16,330","16,330","0.00"
"June 30, 2020","Sarasota","FL","Passenger","2","0","2","44","46","4.35"
"November 30, 2019","Columbia","WA","Truck","0","0","0","1,535","1,535","0.00"
"June 30, 2023","Klickitat","WA","Passenger","149","64","213","15,086","15,299","1.39"
"January 31, 2023","Cowlitz","WA","Passenger","419","192","611","70,017","70,628","0.87"
"May 31, 2023","Clark","WA","Truck","90","0","90","81,264","81,354","0.11"
"August 31, 2023","New London","CT","Passenger","2","3","5","202","207","2.42"
"January 31, 2019","Garfield","WA","Passenger","1","1","2","1,331","1,333","0.15"
"August 31, 2018","Marion","IN","Passenger","1","0","1","121","122","0.82"
"February 29, 2024","Howard","MD","Passenger","0","2","2","72","74","2.70"
"February 28, 2018","Island","WA","Truck","0","0","0","20,800","20,800","0.00"
"July 31, 2019","Yakima","WA","Truck","0","0","0","59,232","59,232","0.00"
"March 31, 2021","Snohomish","WA","Truck","1","0","1","125,803","125,804","0.00"
"November 30, 2018","Skamania","WA","Truck","0","0","0","4,009","4,009","0.00"
"February 29, 2024","Kern","CA","Passenger","2","1","3","185","188","1.60"
"April 30, 2019","St. Mary's","MD","Passenger","1","0","1","219","220","0.45"
"June 30, 2022","Denver","CO","Passenger","2","0","2","117","119","1.68"
"January 31, 2023","Washington","OR","Passenger","3","0","3","351","354","0.85"
"October 31, 2023","Leavenworth","KS","Passenger","1","2","3","84","87","3.45"
"April 30, 2021","Mason","WA","Truck","0","0","0","21,260","21,260","0.00"
"April 30, 2020","Davidson","TN","Passenger","1","0","1","85","86","1.16"
"October 31, 2019","Mason","WA","Passenger","140","127","267","47,519","47,786","0.56"
"March 31, 2023","Leavenworth","KS","Passenger","1","2","3","90","93","3.23"
"June 30, 2019","Tarrant","TX","Passenger","3","0","3","223","226","1.33"
"November 30, 2018","Island","WA","Passenger","266","225","491","62,988","63,479","0.77"
"May 31, 2023","King","WA","Truck","685","2","687","175,414","176,101","0.39"
"January 31, 2021","Grant","WA","Truck","0","0","0","27,572","27,572","0.00"
"August 31, 2025","Essex","NJ","Passenger","1","1","2","4","6","33.33"
"October 31, 2019","Washtenaw","MI","Passenger","1","0","1","45","46","2.17"
"June 30, 2022","Asotin","WA","Passenger","23","19","42","12,678","12,720","0.33"
"August 31, 2020","Guadalupe","TX","Passenger","1","0","1","65","66","1.52"
"August 31, 2022","Middlesex","NJ","Passenger","1","0","1","25","26","3.85"
"May 31, 2024","Honolulu","HI","Passenger","7","2","9","329","338","2.66"
"April 30, 2022","San Mateo","CA","Passenger","4","1","5","109","114","4.39"
"November 30, 2022","Cumberland","ME","Passenger","1","0","1","19","20","5.00"
"April 30, 2021","Ventura","CA","Passenger","1","2","3","309","312","0.96"
"January 31, 2024","Thurston","WA","Passenger","3,897","1,426","5,323","188,464","193,787","2.75"
"October 31, 2020","Pierce","WA","Passenger","2,656","1,740","4,396","553,806","558,202","0.79"
"February 28, 2017","Middlesex","MA","Passenger","1","0","1","157","158","0.63"
"August 31, 2022","Newport","RI","Passenger","0","2","2","75","77","2.60"
"March 31, 2025","Kitsap","WA","Truck","251","0","251","51,436","51,687","0.49"
"December 31, 2023","San Francisco","CA","Passenger","3","1","4","83","87","4.60"
"June 30, 2021","St. Louis","MO","Passenger","1","0","1","95","96","1.04"
"January 31, 2024","Mason","WA","Passenger","565","232","797","46,014","46,811","1.70"
"November 30, 2022","Pennington","SD","Passenger","2","0","2","29","31","6.45"
"April 30, 2024","Walla Walla","WA","Passenger","284","148","432","35,321","35,753","1.21"
"October 31, 2022","Adams","CO","Passenger","1","0","1","48","49","2.04"
"October 31, 2019","Walla Walla","WA","Truck","0","0","0","13,657","13,657","0.00"
"June 30, 2023","Ferry","WA","Truck","0","0","0","3,577","3,577","0.00"
"December 31, 2020","Broward","FL","Passenger","2","1","3","113","116","2.59"
"February 29, 2024","Montgomery","AL","Passenger","1","1","2","27","29","6.90"
"September 30, 2021","Manassas","VA","Passenger","0","1","1","6","7","14.29"
"July 31, 2022","Garfield","WA","Truck","0","0","0","971","971","0.00"
"July 31, 2024","Pulaski","AR","Passenger","1","0","1","29","30","3.33"
"February 28, 2025","Sacramento","CA","Passenger","1","0","1","162","163","0.61"
"December 31, 2020","Cowlitz","WA","Truck","0","0","0","28,907","28,907","0.00"
"February 29, 2024","Pima","AZ","Passenger","2","0","2","223","225","0.89"
"December 31, 2018","Ramsey","MN","Passenger","1","0","1","46","47","2.13"
"December 31, 2023","Plaquemines","LA","Passenger","1","1","2","18","20","10.00"
"January 31, 2022","El Dorado","CA","Passenger","1","0","1","36","37","2.70"
"December 31, 2018","New London","CT","Passenger","0","1","1","246","247","0.40"
"September 30, 2020","Davidson","TN","Passenger","1","0","1","79","80","1.25"
"July 31, 2024","Carroll","MD","Passenger","0","1","1","16","17","5.88"
"March 31, 2022","Kern","CA","Passenger","1","1","2","204","206","0.97"
"July 31, 2022","Fort Bend","TX","Passenger","1","0","1","34","35","2.86"
"April 30, 2020","Montgomery","TX","Passenger","1","0","1","62","63","1.59"
"March 31, 2022","Beaufort","SC","Passenger","1","0","1","40","41","2.44"
"September 30, 2022","Frederick","MD","Passenger","1","0","1","67","68","1.47"
"April 30, 2022","Larimer","CO","Passenger","1","0","1","58","59","1.69"
"February 28, 2025","Clark","WA","Passenger","10,348","3,510","13,858","315,836","329,694","4.20"
"April 30, 2024","Johnson","MO","Passenger","1","0","1","26","27","3.70"
"December 31, 2019","Larimer","CO","Passenger","1","0","1","63","64","1.56"
"September 30, 2024","Wahkiakum","WA","Passenger","41","26","67","3,045","3,112","2.15"
"April 30, 2024","St. Clair","IL","Passenger","1","2","3","106","109","2.75"
"March 31, 2022","Kitsap","WA","Passenger","2,272","1,007","3,279","178,398","181,677","1.80"
"February 28, 2025","Whitman","WA","Passenger","290","150","440","21,919","22,359","1.97"
"November 30, 2020","Albemarle","VA","Passenger","1","0","1","25","26","3.85"
"August 31, 2023","Monterey","CA","Passenger","1","3","4","136","140","2.86"
"November 30, 2021","Skamania","WA","Passenger","57","40","97","8,323","8,420","1.15"
"December 31, 2022","Harris","TX","Passenger","1","1","2","214","216","0.93"
"August 31, 2022","Pulaski","MO","Passenger","2","0","2","130","132","1.52"
"February 28, 2025","Pend Oreille","WA","Truck","6","0","6","5,499","5,505","0.11"
"October 31, 2022","Beaufort","SC","Passenger","2","0","2","39","41","4.88"
"March 31, 2021","Kauai","HI","Passenger","1","0","1","21","22","4.55"
"August 31, 2020","Pinellas","FL","Passenger","1","1","2","123","125","1.60"
"March 31, 2024","Wichita","TX","Passenger","1","0","1","33","34","2.94"
"December 31, 2024","Washington","WI","Passenger","1","0","1","0","1","100.00"
"August 31, 2019","Grays Harbor","WA","Truck","0","0","0","20,552","20,552","0.00"
"February 28, 2023","Dakota","MN","Passenger","0","1","1","20","21","4.76"
"December 31, 2019","San Diego","CA","Passenger","11","5","16","2,803","2,819","0.57"
"February 29, 2020","Fulton","GA","Passenger","1","3","4","112","116","3.45"
"January 31, 2019","Palm Beach","FL","Passenger","0","2","2","95","97","2.06"
"April 30, 2022","Asotin","WA","Passenger","24","19","43","12,658","12,701","0.34"
"December 31, 2020","Boulder","CO","Passenger","1","1","2","52","54","3.70"
"November 30, 2019","Hawaii","HI","Passenger","1","0","1","67","68","1.47"
"December 31, 2024","Schuylkill","PA","Passenger","1","0","1","3","4","25.00"
"February 28, 2018","King","WA","Truck","8","1","9","183,958","183,967","0.00"
"July 31, 2024","Lexington","SC","Passenger","2","0","2","20","22","9.09"
"December 31, 2017","Clay","FL","Passenger","0","1","1","109","110","0.91"
"August 31, 2023","Santa Cruz","AZ","Passenger","1","0","1","5","6","16.67"
"April 30, 2025","Placer","CA","Passenger","3","0","3","57","60","5.00"
"December 31, 2024","James City","VA","Passenger","1","0","1","33","34","2.94"
"July 31, 2025","Hamilton","OH","Passenger","3","0","3","35","38","7.89"
"June 30, 2023","Kootenai","ID","Truck","1","0","1","42","43","2.33"
"April 30, 2024","Santa Cruz","AZ","Passenger","1","0","1","4","5","20.00"
"October 31, 2017","Essex","NJ","Passenger","1","0","1","16","17","5.88"
"October 31, 2023","Saratoga","NY","Passenger","1","1","2","49","51","3.92"
"December 31, 2020","Powhatan","VA","Passenger","1","0","1","2","3","33.33"
"September 30, 2023","Kittitas","WA","Truck","11","0","11","14,583","14,594","0.08"
"January 31, 2025","Penobscot","ME","Passenger","0","1","1","5","6","16.67"
"July 31, 2018","Ada","ID","Passenger","0","2","2","346","348","0.57"
"October 31, 2020","Benton","WA","Passenger","402","342","744","134,536","135,280","0.55"
"June 30, 2021","Suffolk","VA","Passenger","1","0","1","129","130","0.77"
"November 30, 2024","Prince George","VA","Passenger","1","0","1","59","60","1.67"
"May 31, 2025","Wasco","OR","Passenger","0","1","1","19","20","5.00"
"November 30, 2023","Meade","KY","Passenger","1","0","1","20","21","4.76"
"April 30, 2020","Spartanburg","SC","Passenger","0","1","1","54","55","1.82"
"August 31, 2019","Saratoga","NY","Passenger","1","0","1","55","56","1.79"
"October 31, 2022","Arlington","VA","Passenger","4","0","4","136","140","2.86"
"October 31, 2023","Pend Oreille","WA","Passenger","31","19","50","8,786","8,836","0.57"
"June 30, 2023","El Dorado","CA","Passenger","1","0","1","28","29","3.45"
"September 30, 2023","Hartford","CT","Passenger","1","0","1","30","31","3.23"
"May 31, 2021","Nassau","FL","Passenger","1","0","1","37","38","2.63"
"September 30, 2023","Horry","SC","Passenger","1","0","1","20","21","4.76"
"March 31, 2025","Sarpy","NE","Truck","1","0","1","20","21","4.76"
"August 31, 2023","Newport","RI","Passenger","0","2","2","69","71","2.82"
"July 31, 2017","Jefferson","NY","Passenger","1","1","2","250","252","0.79"
"March 31, 2023","Maui","HI","Passenger","1","0","1","27","28","3.57"
"June 30, 2022","Cascade","MT","Passenger","0","1","1","46","47","2.13"
"August 31, 2022","Chatham","NC","Passenger","1","0","1","7","8","12.50"
"December 31, 2023","Contra Costa","CA","Passenger","4","1","5","177","182","2.75"
"January 31, 2020","Kitsap","WA","Passenger","1,256","657","1,913","182,178","184,091","1.04"
"January 31, 2019","Clark","NV","Passenger","3","3","6","802","808","0.74"
"September 30, 2019","Island","WA","Passenger","345","250","595","63,316","63,911","0.93"
"July 31, 2021","Cumberland","NC","Passenger","0","2","2","440","442","0.45"
"May 31, 2024",,,"Passenger","7","3","10","304","314","3.18"
"September 30, 2024","Kern","CA","Passenger","2","1","3","167","170","1.76"
"February 28, 2023","Bristol","MA","Passenger","1","0","1","10","11","9.09"
"January 31, 2025","DeKalb","GA","Passenger","1","0","1","38","39","2.56"
"October 31, 2020","Skagit","WA","Truck","1","0","1","32,645","32,646","0.00"
"December 31, 2022","Allegheny","PA","Passenger","2","0","2","72","74","2.70"
"May 31, 2024","Middlesex","NJ","Passenger","1","0","1","23","24","4.17"
"August 31, 2019","District of Columbia","DC","Passenger","1","1","2","193","195","1.03"
"October 31, 2017","Lincoln","WA","Truck","0","0","0","4,491","4,491","0.00"
"October 31, 2020","Suffolk","MA","Passenger","0","2","2","41","43","4.65"
"October 31, 2017","Adams","WA","Passenger","3","3","6","12,274","12,280","0.05"
"November 30, 2018","Ventura","CA","Passenger","0","2","2","343","345","0.58"
"February 29, 2020","Sarasota","FL","Passenger","2","0","2","44","46","4.35"
"September 30, 2022","Cook","IL","Passenger","4","0","4","246","250","1.60"
"August 31, 2018","Asotin","WA","Truck","0","0","0","6,641","6,641","0.00"
"May 31, 2025","Kern","CA","Passenger","2","0","2","155","157","1.27"
"March 31, 2021","Solano","CA","Passenger","1","0","1","209","210","0.48"
"July 31, 2023","Bexar","TX","Passenger","4","3","7","463","470","1.49"
"October 31, 2024","Harford","MD","Truck","1","0","1","5","6","16.67"
"April 30, 2021","Hillsborough","FL","Passenger","0","1","1","172","173","0.58"
"May 31, 2023","Grant","WA","Truck","10","0","10","27,958","27,968","0.04"
"June 30, 2018","San Mateo","CA","Passenger","1","1","2","138","140","1.43"
"July 31, 2021","Lewis","WA","Truck","0","0","0","26,742","26,742","0.00"
"February 28, 2022","Anchorage","AK","Passenger","2","0","2","155","157","1.27"
"March 31, 2020","Jefferson","WA","Passenger","234","142","376","25,037","25,413","1.48"
"February 28, 2022","Kittitas","WA","Passenger","217","74","291","29,730","30,021","0.97"
"January 31, 2018","Flathead","MT","Passenger","1","0","1","63","64","1.56"
"December 31, 2018","Norfolk","VA","Passenger","2","2","4","335","339","1.18"
"December 31, 2017","Alameda","CA","Passenger","0","1","1","362","363","0.28"
"September 30, 2019","Randolph","NC","Passenger","1","0","1","6","7","14.29"
"October 31, 2021","Thurston","WA","Truck","0","0","0","56,009","56,009","0.00"
"August 31, 2023","District of Columbia","DC","Passenger","3","0","3","160","163","1.84"
"February 28, 2022","Suffolk","VA","Passenger","1","0","1","132","133","0.75"
"September 30, 2019","Collier","FL","Passenger","1","0","1","26","27","3.70"
"October 31, 2023","Monmouth","NJ","Passenger","1","0","1","20","21","4.76"
"December 31, 2022","District of Columbia","DC","Passenger","2","0","2","171","173","1.16"
"March 31, 2025","Marion","IN","Passenger","1","0","1","23","24","4.17"
"August 31, 2017","Franklin","OH","Passenger","0","1","1","118","119","0.84"
"February 28, 2025","Douglas","WA","Passenger","387","113","500","29,191","29,691","1.68"
"March 31, 2023","Will","IL","Passenger","0","1","1","19","20","5.00"
"April 30, 2020","Los Angeles","CA","Passenger","8","12","20","1,089","1,109","1.80"
"January 31, 2018","Klickitat","WA","Truck","0","0","0","7,990","7,990","0.00"
"September 30, 2023","Broward","FL","Passenger","1","0","1","70","71","1.41"
"July 31, 2025","Marin","CA","Passenger","1","2","3","33","36","8.33"
"November 30, 2019","Shasta","CA","Passenger","1","0","1","44","45","2.22"
"February 28, 2025","Moore","NC","Passenger","2","0","2","106","108","1.85"
"November 30, 2022","Queens","NY","Passenger","1","0","1","51","52","1.92"
"April 30, 2019","Kalamazoo","MI","Passenger","1","0","1","16","17","5.88"
"October 31, 2017","Anne Arundel","MD","Passenger","0","1","1","485","486","0.21"
"July 31, 2022","Hillsborough","FL","Passenger","1","1","2","160","162","1.23"
"August 31, 2025","Collin","TX","Passenger","1","1","2","40","42","4.76"
"December 31, 2024","Palm Beach","FL","Passenger","3","0","3","46","49","6.12"
"May 31, 2019","Multnomah","OR","Passenger","5","5","10","819","829","1.21"
"October 31, 2024","El Paso","TX","Passenger","3","2","5","327","332","1.51"
"April 30, 2022","Harrison","MS","Passenger","2","0","2","58","60","3.33"
"May 31, 2022","Grays Harbor","WA","Passenger","205","158","363","49,012","49,375","0.74"
"October 31, 2019","Hudson","NJ","Passenger","1","0","1","47","48","2.08"
"August 31, 2020","Spokane","WA","Truck","1","0","1","99,333","99,334","0.00"
"September 30, 2021","Clark","WA","Passenger","3,149","1,482","4,631","321,228","325,859","1.42"
"March 31, 2017","Snohomish","WA","Passenger","1,655","848","2,503","513,168","515,671","0.49"
"February 28, 2022","Chesapeake","VA","Passenger","2","1","3","411","414","0.72"
"October 31, 2018","Washtenaw","MI","Passenger","1","0","1","40","41","2.44"
"February 28, 2021","Middlesex","MA","Passenger","1","0","1","110","111","0.90"
"January 31, 2019","St. Mary's","MD","Passenger","1","0","1","214","215","0.47"
"September 30, 2019","King","WA","Truck","6","1","7","182,229","182,236","0.00"
"March 31, 2024","Pinal","AZ","Passenger","3","1","4","110","114","3.51"
"August 31, 2022","Loudoun","VA","Passenger","2","1","3","71","74","4.05"
"March 31, 2025","Douglas","CO","Passenger","0","1","1","43","44","2.27"
"January 31, 2023","Prince William","VA","Passenger","0","4","4","197","201","1.99"
"February 28, 2019","New York","NY","Passenger","1","0","1","83","84","1.19"
"July 31, 2022","Mohave","AZ","Passenger","1","0","1","65","66","1.52"
"May 31, 2017","Nantucket","MA","Passenger","1","0","1","3","4","25.00"
"March 31, 2019","Yakima","WA","Truck","0","0","0","58,721","58,721","0.00"
"December 31, 2023","St. Clair","IL","Passenger","1","2","3","110","113","2.65"
"March 31, 2019","Juneau","AK","Passenger","0","1","1","40","41","2.44"
"December 31, 2021","Adams","WA","Passenger","17","14","31","13,053","13,084","0.24"
"February 28, 2025","Yakima","WA","Passenger","1,066","415","1,481","167,781","169,262","0.87"
"October 31, 2024","Polk","FL","Passenger","1","0","1","42","43","2.33"
"February 28, 2022","Sarpy","NE","Passenger","1","0","1","74","75","1.33"
"July 31, 2025","Snohomish","WA","Passenger","26,083","5,081","31,164","519,720","550,884","5.66"
"June 30, 2024","Madison","AL","Passenger","1","0","1","43","44","2.27"
"October 31, 2019","Moore","NC","Passenger","0","1","1","179","180","0.56"
"April 30, 2017","Shelby","TN","Passenger","0","1","1","117","118","0.85"
"May 31, 2025","Garfield","WA","Passenger","0","3","3","1,296","1,299","0.23"
"December 31, 2020","Suffolk","MA","Passenger","0","2","2","40","42","4.76"
"November 30, 2023","San Benito","CA","Passenger","1","0","1","6","7","14.29"
"August 31, 2019","Carroll","NH","Passenger","0","1","1","2","3","33.33"
"March 31, 2024","Tarrant","TX","Passenger","2","0","2","138","140","1.43"
"March 31, 2023","Galveston","TX","Passenger","1","1","2","22","24","8.33"
"January 31, 2022","Meade","KY","Passenger","1","0","1","26","27","3.70"
"June 30, 2019","Jefferson","WA","Truck","0","0","0","9,656","9,656","0.00"
"October 31, 2017","Sedgwick","KS","Passenger","0","1","1","112","113","0.88"
"April 30, 2019","Benton","WA","Passenger","248","264","512","133,223","133,735","0.38"
"April 30, 2019","Collin","TX","Passenger","2","1","3","160","163","1.84"
"April 30, 2020","Allegheny","PA","Passenger","2","0","2","82","84","2.38"
"June 30, 2022","St. Louis","MO","Passenger","2","0","2","80","82","2.44"
"October 31, 2024","Stevens","WA","Passenger","166","87","253","29,345","29,598","0.85"
"December 31, 2017","San Juan","WA","Passenger","132","43","175","13,844","14,019","1.25"
"March 31, 2022","Snohomish","WA","Truck","4","0","4","124,623","124,627","0.00"
"March 31, 2018","Grays Harbor","WA","Passenger","45","46","91","46,070","46,161","0.20"
"February 29, 2024","Manassas","VA","Passenger","1","0","1","5","6","16.67"
"July 31, 2017","Monterey","CA","Passenger","0","2","2","205","207","0.97"
"March 31, 2017","Manassas","VA","Passenger","0","1","1","9","10","10.00"
"January 31, 2021","Wilson","TX","Passenger","0","1","1","6","7","14.29"
"August 31, 2019","Osceola","FL","Passenger","1","0","1","51","52","1.92"
"December 31, 2019","Pend Oreille","WA","Truck","0","0","0","5,766","5,766","0.00"
"June 30, 2017","Shelby","TN","Passenger","0","1","1","119","120","0.83"
"November 30, 2022","Multnomah","OR","Passenger","4","2","6","623","629","0.95"
"August 31, 2022","Franklin","WA","Truck","2","0","2","20,870","20,872","0.01"
"January 31, 2024","Lexington","SC","Passenger","2","0","2","24","26","7.69"
"August 31, 2018","Mercer","NJ","Passenger","0","1","1","17","18","5.56"
"January 31, 2020","Garfield","WA","Passenger","0","1","1","1,319","1,320","0.08"
"December 31, 2022","Lewis","WA","Truck","1","0","1","26,247","26,248","0.00"
"May 31, 2017","Lewis","WA","Passenger","49","35","84","55,368","55,452","0.15"
"January 31, 2022","Cowlitz","WA","Passenger","273","165","438","71,200","71,638","0.61"
"October 31, 2019","Monroe","IL","Passenger","1","0","1","4","5","20.00"
"September 30, 2021","Pima","AZ","Passenger","1","1","2","329","331","0.60"
"June 30, 2018","Spokane","WA","Truck","1","0","1","92,582","92,583","0.00"
"October 31, 2021","Franklin","WA","Passenger","144","102","246","61,997","62,243","0.40"
"April 30, 2022","Barnstable","MA","Passenger","1","0","1","24","25","4.00"
"March 31, 2023","Johnson","MO","Passenger","1","0","1","25","26","3.85"
"March 31, 2022","San Luis Obispo","CA","Passenger","1","1","2","73","75","2.67"
"May 31, 2022","Clark","WA","Truck","5","0","5","82,771","82,776","0.01"
"June 30, 2019","Dale","AL","Passenger","0","1","1","56","57","1.75"
"February 28, 2018","Virginia Beach","VA","Passenger","2","1","3","681","684","0.44"
